순번,내용,일시 정지 여부,대사 여부,상세,진행 조건,클릭 외 조건,Column 15,위치,표정,인물,스프라이트,대사 1,대사 2,대사 3
27,보스,X,X,보스 등장 후 보스에게 시점이 이동되며 3초간 대기,3초 대기,TRUE,대기,,,,,,,
28,보스,O,O,,컷씬 진행,FALSE,,오른쪽,,도적,도적,"쳇, 이렇게 물러설 순 없지! 가라!","우리 도적단의 숨겨진 비기, 거대 슬라임 '뽀글이'!",
29,보스,O,O,,컷씬 진행,FALSE,,오른쪽,,슬라임,슬라임,"뽀글, 뽀글.",,
30,보스,O,O,,컷씬 진행,FALSE,,왼쪽,당황,케이,케이,세상에… 슬라임한테 뭘 먹이면 저렇게 커지는 거야??,"그보다, 왜 도적단이 슬라임을 부리는 거야!",
31,보스,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,아무래도 전투가 막바지에 다다르면 *강력한 보스가 나타나서* 우릴 가로막는 모양이야.,미리미리 대비를 해두는 편이 좋겠어!,
32,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,,검사,검사,으아아! 저 커다란 게 다가오고 있어요!,검을 휘두르기도 전에 뭉개질 거예요!!,
33,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,걱정 마! 우리에게도 비장의 수가 있어!,"우리 왕국의 보물, 영웅검(부러트림)과 왕실 방패(몰래 가져옴)!!",
34,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,두 종류의 스킬을 적절히 사용해서 전투를 유리하게 이끌 수 있을 거야!,,
35,스킬,X,X,모든 조작 가능,보스 처치 (튜토리얼 보스 처치 시 화면에 등장하지 않는 오브젝트가 등장하게 하면 어떨까),TRUE,오브젝트 활성화,,,,,,,
36,스킬,X,X,"보스에게로 시점 이동, 3초간 대기",3초 대기,TRUE,대기,,,,,,,
37,전투 종료,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,좋아! 적의 보스까지 쓰러트렸어!,이제 이대로 적 요새까지 진격이다!,
38,전투 종료,X,X,모든 조작 가능,전투 결과 화면 등장,TRUE,오브젝트 활성화,,,,,,,
39,전투 종료,X,X,전투 결과 화면 등장 후 3초간 대기,3초 대기,TRUE,대기,,,,,,,
40,전투 종료,O,O,,,FALSE,,왼쪽,행복,케이,케이,해냈어! 공주 용병단의 영광스러운 첫 승리야!,,
41,전투 종료,O,O,,,FALSE,,왼쪽,행복,케이,케이,잘은 모르겠지만 몸속에 뭔가 새로운 에너지가 흐르는 것 같아!,"이게 동화에서만 듣던 영웅의 힘, *소울*인가봐!",
42,전투 종료,O,O,,,FALSE,,왼쪽,행복,케이,케이,앞으로도 계속 *전투를 이어나갈 수록 더 많은 소울을 모을 수 있겠지.*,이제 월드 맵으로 돌아가면서 이 소울을 어떻게 쓸지 생각해보자.,
43,전투 종료,X,X,"확인 버튼 강조, 화살표 추가",월드 맵으로 이동,FALSE,,,,,,,,
