빨간색 순번은 인물과 스프라이트가 다른 경우,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,36,왼쪽,성기사,Paladin,...저도 공주님이 뭐라도 마무리 짓고 돌아가시는게 모두에게 좋을 것 같습니다.,,
,37,왼쪽,케이,Kay_serious,그래! 마왕이 무슨 바람이 들린건진 몰라도,누군가 마왕의 빈 자리를 이용해 전쟁을 준비한다는 건 틀림 없어!,그치? 그런거지??
,38,오른쪽,용기사,General_embarassed,"그, 그래. 그런거다.",,
,39,왼쪽,케이,Kay_serious,...좋아!,"어떤 비겁한 녀석이 이런 수작을 부리는 건진 모르겠지만, 절대 그 녀석 뜻대로 되게 두지 않아!",
,40,왼쪽,케이,Kay_happy,이 중앙 왕국의 공주 케이와,무적의 용병단이 있으니까 말이야!,
,41,왼쪽,검사,Swordsman,...정말 금방 기운을 찾으시는군요.,,
,42,왼쪽,케이,Kay_serious,너! 용인지 엘프인지 정체를 알 수 없는 꼬맹이!,나에게 감사하라고!,"내가 너의 대빵, 마왕을 찾아내고 말테니까!"
,43,오른쪽,용기사,General_happy,후... 자꾸 꼬맹이라고 부르지 마라 꼬맹아.,내가 이래 보여도 네 아비인 왕보다 몇배는 늙었으니까.,
,44,오른쪽,용기사,General_happy,그래도 너희들의 실력은 우리 마왕군이 인정하도록 하지.,너희에겐 왕국을 지킬 힘이 있을지도 모르겠어.,
,45,왼쪽,케이,Kay_happy,후후! 그럼! 자격 있고 말고!,너 보는 눈이 좀 있구나!,
,46,왼쪽,엘프 궁수,ElfArcher,큰일입니다.,공주님이 마왕군의 장군에게 물들고 있어요.,
,47,왼쪽,성기사,Paladin,...폐하. 죄송합니다. 공주님의 통제는 이미 제 능력 밖입니다.,,
,48,오른쪽,용기사,General_normal,아무튼 마왕님의 빈 자리는 우리 마왕군에게도 치명적이니,우리도 사태 파악을 위해 최선을 다하겠다.,"마왕님의 마음이 바뀌지 않는 한, 너희는 마왕군의 친구다."
,49,왼쪽,케이,Kay_happy,헤헤. 좋아!,"세상이 정말 평화로워지는 날이 온다면, 너를 왕국의 정통 티파티에 초대해줄게!",
,50,오른쪽,용기사,General_happy,"...하하, 기대해 보도록 하지.",,
,51,왼쪽,케이,Kay_serious,좋아 용병단!!,아직 우리의 모험은 끝나지 않았어!,다들 배에 힘 빡주고 출발하자!
,52,왼쪽,케이,Kay_happy,이 세상은 아직 영웅을 필요로 하니까!!,,
,53,왼쪽,용병단,None,넵!!,,
